R, M
 3.47015497989062E-02, 0.190179256600515
 0.034678449722351, 0.190443145010292
 3.46553701910296E-02, 0.190703579681514
 3.46326416681389E-02, 0.190956737629904
 3.46105946439778E-02, 0.191198765163304
 3.45895596203435E-02, 0.191425780892200
 3.45698670945399E-02, 0.191633879988213
 3.45518475428112E-02, 0.191819139708803
 3.45358314030176E-02, 0.191977626200257
 3.45221490563684E-02, 0.192105402583153
 0.034511130808028, 0.192198538314899
 3.45031068664123E-02, 0.192253119812768
 3.44984073209926E-02, 0.192265851738501
 3.44973113840155E-02, 0.192241029366679
 3.44994481458514E-02, 0.192188202444575
 0.034503997034756, 0.192117030262556
 3.45101287138804E-02, 0.192037160882876
 3.45170139119401E-02, 0.191958222551667
 3.45238232497959E-02, 0.191889822704553
 3.45297270642451E-02, 0.191841554497073
 3.45338952318749E-02, 0.191823010802365
 3.45354969958382E-02, 0.191843371614192
 3.45337382862798E-02, 0.191907273943957
 3.45282204780556E-02, 0.192016643237708
 3.45187833734881E-02, 0.192173410143548
 3.45052711397918E-02, 0.192379553718204
 3.44875291908608E-02, 0.192637107580458
 3.44654043032994E-02, 0.192948166495716
 3.44387447310509E-02, 0.193314893426460
 3.44074003183949E-02, 0.193739527087916
 3.43712226110883E-02, 0.194225143773191
 0.034330001111062, 0.194800855722210
 3.42813404051899E-02, 0.195528407483567
 3.42201669281218E-02, 0.196473403999434
 3.41412406570444E-02, 0.197704455923955
 3.40393107573356E-02, 0.199294627473876
 3.39091096053508E-02, 0.201323321094963
 3.37453500767448E-02, 0.203878700503843
 3.35427268979882E-02, 0.207060806472730
 0.033295922899707, 0.210985595890063
 3.29996210323304E-02, 0.215790247540641
 3.26485229898088E-02, 0.221640250468397
 3.22373752149987E-02, 0.228739062408350
 3.17610029075512E-02, 0.237300852521948
 3.12168649572966E-02, 0.247390622743073
 3.06146071385244E-02, 0.259025638434281
 2.99673961837361E-02, 0.272219086641590
 0.029288243611406, 0.286968968380004
 2.85899726696219E-02, 0.303330743871163
 2.78816129691123E-02, 0.321483475930782
 2.71668856318197E-02, 0.341647929473014
 2.64491201809372E-02, 0.364088306819873
 2.57316438726614E-02, 0.389127055678371
 2.50177669878565E-02, 0.417163633862332
 2.43108702816261E-02, 0.448581302659899
 2.36170230769311E-02, 0.483687948730018
 2.29452379267692E-02, 0.522800828190975
 2.23047196782543E-02, 0.566244203053455
 2.17047851912909E-02, 0.614338970263030
 2.11549190407303E-02, 0.667389869847511
 2.06648122611623E-02, 0.725671229668139
 2.02443791377819E-02, 0.789415416261431
 1.99037458502398E-02, 0.858825496428999
 1.96532037693325E-02, 0.934336404030892
 1.95031197622801E-02, 1.00000934660396
 1.94637965016182E-02, 1.09798706231002
 1.95452103033857E-02, 1.18636413530134
 1.97491316758678E-02, 1.27353893131530
 2.00622891984692E-02, 1.35864389030397
 2.04699262222803E-02, 1.44104990345830
 2.09576259342786E-02, 1.52025867906339
 2.15113521733784E-02, 1.59599061659465
 2.21184509879851E-02, 1.66875605616497
 2.27738089239438E-02, 1.73910216364932
 2.34754500752759E-02, 1.80734331757056
 2.42212947037316E-02, 1.87335971296749
 2.50053642863086E-02, 1.93657122776906
 2.58152789325877E-02, 1.99650359200847
 2.66381267235511E-02, 2.05279178214750
 2.74610479531972E-02, 2.10514161308679
 2.82711989110119E-02, 2.15357411115906
 0.029060255485188, 2.19882369104014
 0.029832705834983, 2.24161367812809
 3.05952999009395E-02, 2.28254907831831
 3.13547993415518E-02, 2.32214400167620
 3.21179711195282E-02, 2.36084022364280
 3.28915818588483E-02, 2.39901996435718
 3.36823912684767E-02, 2.43701476218127
 0.034497142927731, 2.47511163787751
 3.53425507402169E-02, 2.51355734747496
 3.62252794032938E-02, 2.55251585820114
 3.71508196880079E-02, 2.59175557810276
 3.81153904817051E-02, 2.63089623601769
 3.91106636174084E-02, 2.66960695499325
 4.01283566712546E-02, 2.70755246097488
 4.11589082319944E-02, 2.74430531889881
 4.21889364597039E-02, 2.77946553124561
 4.32043593943278E-02, 2.81267535789253
 4.41910200418397E-02, 2.84360867973480
